"otu","tax","phylum","class","order","family","genus"
"OTU_97.286","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"OTU_97.28652","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.28675","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"OTU_97.29789","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.30290","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"OTU_97.30314","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"OTU_97.30614","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.30909","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"OTU_97.30987","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.31213","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"OTU_97.314","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__","Firmicutes","Clostridia","Clostridiales","",""
"OTU_97.32052","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.32265","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.32321","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.326","Root;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium","Tenericutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium"
"OTU_97.33325","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"OTU_97.33358","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.33394","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.33619","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU_97.338","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"OTU_97.340","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"OTU_97.34936","Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
